county,population,tests,positive,cases,deaths,total_full,total_partial
Alameda,1680480.0,3590879.0,130133.0,107950.0,1230.0,1151524,1128245
Alpine,1209.0,2151.0,46.0,98.0,0.0,705,790
Amador,40446.0,149585.0,5485.0,4745.0,58.0,17826,19639
Butte,196880.0,289588.0,18739.0,17542.0,228.0,96451,100901
Calaveras,46319.0,55933.0,3768.0,3270.0,65.0,20647,21932
Colusa,21805.0,23090.0,2199.0,2343.0,16.0,10478,11059
Contra Costa,1159540.0,2141866.0,102018.0,89960.0,882.0,804166,805267
Del Norte,27956.0,127754.0,3646.0,3210.0,29.0,10578,11220
El Dorado,197037.0,245215.0,14841.0,14052.0,124.0,100822,104156
Fresno,1013400.0,1605085.0,144932.0,121531.0,1857.0,477528,517126
Glenn,29245.0,31724.0,3152.0,3038.0,24.0,12613,12727
Humboldt,134186.0,193795.0,8638.0,7500.0,50.0,75391,76411
Imperial,180599.0,375217.0,35366.0,30027.0,740.0,118090,128800
Inyo,18225.0,21922.0,1355.0,1597.0,38.0,8992,9337
Kern,913090.0,1396151.0,128279.0,111923.0,1421.0,366141,395875
Kings,156056.0,462446.0,32161.0,27628.0,280.0,51145,56331
Lake,64524.0,92463.0,6699.0,5609.0,84.0,29859,31361
Lassen,30483.0,179553.0,7171.0,6050.0,23.0,6732,6468
Los Angeles,9969510.0,29303282.0,1702841.0,1324628.0,24128.0,6010757,6285936
Madera,158217.0,333610.0,22335.0,19641.0,252.0,66615,70982
Marin,257154.0,638851.0,18076.0,16093.0,226.0,198248,199579
Mariposa,16799.0,29224.0,946.0,836.0,3.0,6041,7997
Mendocino,85445.0,134167.0,7060.0,6358.0,65.0,49881,53683
Merced,284738.0,473969.0,41123.0,37180.0,524.0,107471,123726
Modoc,8923.0,6484.0,214.0,453.0,5.0,3226,3097
Mono,14526.0,22638.0,1653.0,1408.0,2.0,8380,8820
Monterey,434283.0,739418.0,51484.0,45803.0,553.0,254886,265728
Napa,135654.0,333338.0,12732.0,11849.0,89.0,92782,98853
Nevada,100249.0,142669.0,8401.0,7815.0,81.0,53549,57556
Orange,3175130.0,4728003.0,346437.0,284020.0,5235.0,1947863,2015165
Placer,410327.0,555923.0,34870.0,32265.0,350.0,222930,231922
Plumas,18939.0,28552.0,1186.0,1163.0,5.0,9050,8832
Riverside,2520060.0,3680001.0,394759.0,331043.0,4531.0,1189318,1282784
Sacramento,1578680.0,2585300.0,162204.0,141319.0,1910.0,850700,895469
San Benito,65490.0,105247.0,7877.0,6797.0,60.0,35695,37369
San Bernardino,2206750.0,3803020.0,389404.0,329165.0,5265.0,997026,1067484
San Diego,3347270.0,6427084.0,403751.0,336712.0,3798.0,2117134,2175592
San Francisco,883255.0,2580665.0,59299.0,45668.0,562.0,646138,644212
San Joaquin,781462.0,1335718.0,103721.0,89882.0,1574.0,365491,402790
San Luis Obispo,282625.0,634709.0,28686.0,26489.0,305.0,155542,162082
San Mateo,762357.0,2150850.0,61476.0,48308.0,487.0,550648,556058
Santa Barbara,447937.0,784837.0,46042.0,39743.0,479.0,259454,268922
Santa Clara,1918880.0,5255178.0,156091.0,134261.0,1689.0,1421838,1408450
Santa Cruz,271957.0,548040.0,20096.0,18662.0,209.0,173761,182760
Shasta,180822.0,277096.0,15069.0,17322.0,248.0,66788,72718
Sierra,3021.0,3807.0,129.0,120.0,0.0,1467,1511
Siskiyou,43517.0,40600.0,2998.0,2807.0,35.0,17696,19389
Solano,451479.0,886186.0,44519.0,41552.0,302.0,241103,270121
Sonoma,485722.0,924294.0,41625.0,37601.0,361.0,330718,340813
Stanislaus,555728.0,853451.0,80361.0,69860.0,1060.0,247397,275328
Sutter,98217.0,136247.0,14087.0,12517.0,149.0,46562,49307
Tehama,67216.0,77391.0,7017.0,6946.0,82.0,22069,23339
Trinity,11721.0,9622.0,597.0,550.0,4.0,5007,5085
Tulare,469407.0,728851.0,66225.0,57999.0,846.0,192038,214108
Tuolumne,54660.0,130766.0,6921.0,5912.0,84.0,24527,26410
Ventura,841734.0,1776747.0,111007.0,91265.0,1068.0,515663,531813
Yolo,221264.0,700498.0,18353.0,17604.0,211.0,128763,135615
Yuba,80890.0,97707.0,10091.0,8755.0,48.0,29592,30577
