County,FIPS code[5],County seat[6],Est.[6],Formed from,Etymology[7],General Law or Charter[8],Population (2020)[9],Area[6],Map
Alameda County,1,Oakland,1853,Contra Costa and Santa Clara,"The oak and other trees, once abundant in the region; alameda is Spanish for ""avenue shaded by trees"" or ""cottonwood grove"".",Charter,1682353,"738 sq mi(1,911 km2)",
Alpine County,3,Markleeville,1864,"Amador, El Dorado, Calaveras, Mono and Tuolumne",Location high in the Sierra Nevada; alpine refers to the Alps or other mountains.,General Law,1204,"739 sq mi(1,914 km2)",
Amador County,5,Jackson,1854,Calaveras,"Jose Maria Amador (1794–1883), a soldier, rancher, and miner who, along with several Native Americans, established a successful gold mining camp near present-day Amador City in 1848",General Law,40474,"606 sq mi(1,570 km2)",
Butte County,7,Oroville,1850,original,"Sutter Buttes, which were mistakenly thought to be in the county at the time of its establishment",Charter,211632,"1,640 sq mi(4,248 km2)",
Calaveras County,9,San Andreas,1850,original,"Calaveras River; calaveras is Spanish for ""skulls"".",General Law,45292,"1,020 sq mi(2,642 km2)",
Colusa County,11,Colusa,1850,original,Rancho Colus land grant from Mexico,General Law,21839,"1,151 sq mi(2,981 km2)",
Contra Costa County,13,Martinez,1850,original,"Location across San Francisco Bay from San Francisco; contra costa is Spanish for ""opposite coast"".",General Law,1165927,"720 sq mi(1,865 km2)",
Del Norte County,15,Crescent City,1857,Klamath,"Location along California's northern border; del norte is Spanish for ""northern"".",General Law,27743,"1,008 sq mi(2,611 km2)",
El Dorado County,17,Placerville,1850,original,"El Dorado, a mythical city of gold, owing to the area's significance in the California Gold Rush",Charter,191185,"1,712 sq mi(4,434 km2)",
Fresno County,19,Fresno,1856,"Mariposa, Merced and Tulare","The city of Fresno; fresno is Spanish for ""ash tree"".",Charter,1008654,"5,963 sq mi(15,444 km2)",
Glenn County,21,Willows,1891,Colusa,"Dr. Hugh J. Glenn, a California businessman and politician",General Law,28917,"1,315 sq mi(3,406 km2)",
Humboldt County,23,Eureka,1853,Trinity,"Alexander von Humboldt, a German naturalist and explorer",General Law,136463,"3,573 sq mi(9,254 km2)",
Imperial County,25,El Centro,1907,San Diego,"Imperial Valley, named after the Imperial Land Company",General Law,179702,"4,175 sq mi(10,813 km2)",
Inyo County,27,Independence,1866,Mono and Tulare,"Exact etymology disputed; early settlers believed Inyo to be the native name for area mountains, but it may be the name of a Mono Indian leader.",General Law,19016,"10,192 sq mi(26,397 km2)",
Kern County,29,Bakersfield,1866,Los Angeles and Tulare,"Edward Kern, cartographer for John C. Fremont's 1845 expedition",General Law,909235,"8,142 sq mi(21,088 km2)",
Kings County,31,Hanford,1893,Tulare,"Kings River; original Spanish name Rio de los Santos Reyes (""River of the Holy Kings"")",General Law,152486,"1,390 sq mi(3,600 km2)",
Lake County,33,Lakeport,1861,Napa,Clear Lake,General Law,68163,"1,258 sq mi(3,258 km2)",
Lassen County,35,Susanville,1864,"Plumas and Shasta, and now defunct Lake County, Nevada","Peter Lassen, a Danish naturalist and explorer",General Law,32730,"4,558 sq mi(11,805 km2)",
