county,population,density
Los Angeles,9969510,13488.85
San Diego,3347270,4528.89
Orange,3175130,4295.98
Riverside,2520060,3409.67
San Bernardino,2206750,2985.76
Santa Clara,1918880,2596.26
Alameda,1680480,2273.71
Sacramento,1578680,2135.97
Contra Costa,1159540,1568.87
Fresno,1013400,1371.14
Kern,913090,1235.42
San Francisco,883255,1195.05
Ventura,841734,1138.87
San Joaquin,781462,1057.33
San Mateo,762357,1031.48
Stanislaus,555728,751.91
Sonoma,485722,657.19
Tulare,469407,635.11
Solano,451479,610.86
Santa Barbara,447937,606.06
Monterey,434283,587.59
Placer,410327,555.18
Merced,284738,385.25
San Luis Obispo,282625,382.39
Santa Cruz,271957,367.96
Marin,257154,347.93
Yolo,221264,299.37
El Dorado,197037,266.59
Butte,196880,266.38
Shasta,180822,244.65
Imperial,180599,244.35
Madera,158217,214.07
Kings,156056,211.15
Napa,135654,183.54
Humboldt,134186,181.56
Nevada,100249,135.64
Sutter,98217,132.89
Mendocino,85445,115.61
Yuba,80890,109.45
Tehama,67216,90.94
San Benito,65490,88.61
Lake,64524,87.3
Tuolumne,54660,73.96
Calaveras,46319,62.67
Siskiyou,43517,58.88
Amador,40446,54.72
Lassen,30483,41.24
Glenn,29245,39.57
Del Norte,27956,37.82
Colusa,21805,29.5
Plumas,18939,25.62
Inyo,18225,24.66
Mariposa,16799,22.73
Mono,14526,19.65
Trinity,11721,15.86
Modoc,8923,12.07
Sierra,3021,4.09
Alpine,1209,1.64
