county,month,administered_date,fully_vaccinated,partially_vaccinated
Alameda,July,2020-07-27,0,0
Alameda,July,2020-07-28,0,0
Alameda,July,2020-07-29,0,0
Alameda,July,2020-07-30,0,0
Alameda,July,2020-07-31,0,0
Alameda,August,2020-08-01,0,0
Alameda,August,2020-08-02,0,0
Alameda,August,2020-08-03,0,0
Alameda,August,2020-08-04,0,0
Alameda,August,2020-08-05,0,0
Alameda,August,2020-08-06,0,0
Alameda,August,2020-08-07,0,0
Alameda,August,2020-08-08,0,0
Alameda,August,2020-08-09,0,0
Alameda,August,2020-08-11,0,0
Alameda,August,2020-08-16,0,0
Alameda,August,2020-08-22,0,0
Alameda,August,2020-08-23,0,0
Alameda,August,2020-08-24,0,0
Alameda,August,2020-08-29,0,0
Alameda,August,2020-08-30,0,0
Alameda,September,2020-09-05,0,0
Alameda,September,2020-09-07,0,0
Alameda,September,2020-09-12,0,0
Alameda,September,2020-09-13,0,0
Alameda,September,2020-09-14,0,0
Alameda,September,2020-09-19,0,0
Alameda,September,2020-09-20,0,0
Alameda,September,2020-09-22,0,0
Alameda,September,2020-09-26,0,0
Alameda,September,2020-09-27,0,0
Alameda,September,2020-09-29,0,0
Alameda,October,2020-10-02,0,0
Alameda,October,2020-10-03,0,0
Alameda,October,2020-10-04,0,0
Alameda,October,2020-10-06,0,0
Alameda,October,2020-10-07,0,0
Alameda,October,2020-10-08,0,0
Alameda,October,2020-10-09,0,0
Alameda,October,2020-10-10,0,0
Alameda,October,2020-10-11,0,0
Alameda,October,2020-10-12,0,0
Alameda,October,2020-10-13,0,0
Alameda,October,2020-10-14,0,0
Alameda,October,2020-10-15,0,0
Alameda,October,2020-10-16,0,0
Alameda,October,2020-10-17,0,0
Alameda,October,2020-10-18,0,0
Alameda,October,2020-10-19,0,0
Alameda,October,2020-10-21,0,0
Alameda,October,2020-10-22,0,0
Alameda,October,2020-10-23,0,0
Alameda,October,2020-10-24,0,0
Alameda,October,2020-10-25,0,0
Alameda,October,2020-10-26,0,0
Alameda,October,2020-10-27,0,0
Alameda,October,2020-10-28,0,0
Alameda,October,2020-10-29,0,0
