county,population,tests,positive,cases,deaths,total_full,total_partial
Alameda,1680480.0,3590879.0,130133.0,107950.0,1230.0,1151524,1128245
Contra Costa,1159540.0,2141866.0,102018.0,89960.0,882.0,804166,805267
Fresno,1013400.0,1605085.0,144932.0,121531.0,1857.0,477528,517126
Kern,913090.0,1396151.0,128279.0,111923.0,1421.0,366141,395875
Los Angeles,9969510.0,29303282.0,1702841.0,1324628.0,24128.0,6010757,6285936
Orange,3175130.0,4728003.0,346437.0,284020.0,5235.0,1947863,2015165
Riverside,2520060.0,3680001.0,394759.0,331043.0,4531.0,1189318,1282784
Sacramento,1578680.0,2585300.0,162204.0,141319.0,1910.0,850700,895469
San Bernardino,2206750.0,3803020.0,389404.0,329165.0,5265.0,997026,1067484
San Diego,3347270.0,6427084.0,403751.0,336712.0,3798.0,2117134,2175592
San Francisco,883255.0,2580665.0,59299.0,45668.0,562.0,646138,644212
San Joaquin,781462.0,1335718.0,103721.0,89882.0,1574.0,365491,402790
San Mateo,762357.0,2150850.0,61476.0,48308.0,487.0,550648,556058
Santa Clara,1918880.0,5255178.0,156091.0,134261.0,1689.0,1421838,1408450
Ventura,841734.0,1776747.0,111007.0,91265.0,1068.0,515663,531813
